,company_cd,company_name,company_name_h,company_name_k,company_name_r,company_type,company_url,e_status_x,e_status_y,has_station_data,is_bullet,lat,line_cd,line_name,line_name_h,line_name_k,lon,rr_cd,station_cd1,station_cd2,zoom
97,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141305,1141306,10.0
98,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141306,1141307,10.0
99,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141307,1141308,10.0
100,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141308,1141309,10.0
101,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141309,1141310,10.0
102,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141310,1141311,10.0
103,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141311,1141312,10.0
104,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141312,1141313,10.0
105,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141313,1141314,10.0
106,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141314,1141315,10.0
107,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141315,1141316,10.0
108,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141316,1141317,10.0
109,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141317,1141318,10.0
110,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141318,1141319,10.0
111,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141319,1141320,10.0
